Timestep,P0,P1,P2,P3
107,-2323.94372,-2428.614417,-429.1969749,-2775.135832
108,-2325.156594,-2428.896492,-470.6310942,-2775.135832
109,-2325.375167,-2431.012815,-466.1124437,-2775.135832
110,-2332.479374,-2037.377715,-463.1155584,-2780.601205
111,-2374.373415,-2036.572737,-465.8868298,-2775.107398
112,-2732.229,-2077.603843,-476.112009,-2777.132596
113,-2720.992377,-2076.783965,-473.1128972,-2780.564959
114,-2385.577256,-2429.859053,-827.8615232,-2472.164497
115,-2726.438644,-2427.837291,-834.8442776,-2430.606132
116,-2723.068274,-1122.277739,-828.1475328,-2747.834892
117,-2726.115212,-1093.265982,-1226.864422,-2736.840821
118,-2722.660412,-1364.30536,-1216.359211,-2736.661753
119,-2717.16041,-869.1559291,-1217.875686,-2736.912579
120,-2727.065079,-846.843854,-912.9869048,-562.8168451
121,-2717.065091,-841.8437536,-553.2303296,-882.155682
122,-818.5791165,-820.4043908,-505.6431884,-778.5249697
123,-820.6485627,-784.7392541,-868.6783792,-1738.935963
124,-857.2180582,-749.6762156,-865.3755774,-1729.455528
125,-860.6477825,-745.162574,-863.8839241,-1779.064159
126,-2736.396682,-797.3116326,-508.3643942,-2718.30348
127,-2731.757662,-887.3310057,-468.3968057,-2730.577426
128,-2738.867476,-837.3232002,-2388.916128,-2728.048269
129,-2731.822219,-833.3204218,-2386.022149,-2470.489848
130,-2737.256611,-879.7810538,-2382.572089,-2092.004051
131,-2727.256621,-1176.185879,-2386.618419,-2447.188749
132,-2776.677497,-1175.172816,-2387.063406,-2443.192134
133,-2767.181587,-1231.204654,-2383.077762,-2468.27254
134,-2419.90796,-865.7109355,-2383.06335,-2383.122053
135,-2413.983099,-905.1880034,-2386.517487,-2324.58661
136,-2773.695297,-905.2158411,-2353.13032,-2397.879335
137,-2776.747571,-861.7058846,-2348.105541,-2364.459151
138,-2771.159681,-852.7057942,-2390.008886,-824.0949669
139,-2769.996539,-854.6580802,-870.2853019,-879.077533
140,-2773.45423,-853.8534456,-600.8447107,-872.585828
141,-2417.590242,-819.8976732,-544.3529181,-518.929374
142,-2782.494511,-864.3957093,-1894.583654,-512.800466
143,-2777.932951,-615.9340873,-1612.979117,-535.2241281
144,-2768.941602,-570.4661209,-1694.508981,-507.8960053
145,-2772.450275,-563.4658604,-1181.844249,-494.1760675
146,-2774.486886,-561.8964403,-1227.343019,-539.1222378
147,-2768.482283,-548.727848,-898.6929086,-947.8580135
148,-1436.213226,-262.7946684,-933.8049097,-2373.723382
149,-1419.785508,-306.7614844,-915.7848121,-2329.267299
150,-1424.823973,-342.7302473,-915.7856899,-2320.267292
151,-968.1526579,-312.7956433,-1293.616641,-2321.571762
152,-919.5876463,-274.326585,-2740.674283,-2283.758001
153,-913.2438826,-278.3794593,-1574.76323,-2345.695836
154,-956.2061464,-73.95442971,-1572.277926,-2331.195846
155,-721.9445622,-514.1808859,-1576.744816,-2382.879946
156,-676.467883,-814.4898161,-1894.990501,-388.8180543
157,-697.926942,-809.9844141,-1835.501712,-384.9150539
158,-685.4073467,-810.8233104,-1785.534534,-423.9362093
159,-776.9649065,-812.6323257,-1874.389616,-384.4119432
160,-772.9694712,-865.785871,-1631.821071,-396.4776338
161,-728.9772364,-877.6966444,-2376.633637,-751.989325
162,-737.0179353,-866.4592723,-2370.701531,-787.6316095
163,-734.0178153,-863.9591468,-2365.207794,-833.2076211
164,-734.0283297,-865.7529513,-2376.250682,-782.229737
165,-723.0771594,-833.672701,-2369.784017,-2783.75651
166,-949.4645802,-824.1727056,-1984.016671,-780.1668882
167,-935.9214771,-442.4279932,-1974.889065,-777.6682137
168,-2151.776664,-432.4307354,-1226.665972,-777.48074
169,-1880.510333,-432.4905301,-1271.759312,-777.7730639
170,-1837.463679,-387.4598981,-1264.258993,-828.438827
