Timestep,l_0.0001,l_0.001,l_0.01,l_0.05
306,-181.3609018,-1182.17484,-779.2370323,-436.7326581
307,-240.1156821,-1193.426854,-787.8864013,-444.372862
308,-118.5524314,-1192.190589,-761.8866453,-427.748162
309,-138.2846437,-1178.190645,-898.7554372,-425.6452772
310,-134.0242311,-1169.352941,-875.7105969,-419.7651092
311,-127.0246624,-1167.082934,-907.2826088,-423.1579623
312,-138.4821677,-1177.841066,-911.6066061,-452.7979871
313,-122.7517459,-360.2897251,-882.6928912,-437.6073415
314,-111.7902004,-453.3737077,-881.4775324,-926.2908431
315,-273.1905412,-447.3773348,-1041.808951,-1050.205821
316,-256.3163547,-430.4851398,-1029.738272,-1202.594612
317,-263.0918297,-290.5535321,-1018.518084,-1172.594591
318,-264.4998607,-279.5542719,-822.1480368,-1172.684034
319,-375.8003967,-284.9054168,-534.6016408,-1194.222823
320,-360.8009356,-279.9036009,-547.039397,-1177.333139
321,-310.7394624,-246.3208832,-521.3165987,-1184.848168
322,-303.75469,-244.3190482,-1187.872418,-1174.848172
323,-510.8624783,-233.678564,-1170.676014,-732.2064105
324,-704.7837867,-232.674864,-395.9993715,-712.2472494
325,-732.1915738,-382.4504415,-377.8625584,-865.2233494
326,-895.7741605,-367.6953819,-354.8843557,-838.1088431
327,-939.8724882,-369.3367827,-516.0909808,-828.2367151
328,-1040.931899,-497.1125321,-657.468499,-825.0711105
329,-1177.121029,-468.757266,-803.9368402,-961.4634327
330,-1177.055837,-466.2993022,-826.0185746,-824.0714562
331,-1177.124562,-241.3713689,-807.5457873,-886.7195886
332,-1174.104536,-228.4925837,-668.6026712,-886.7188699
333,-971.2469261,-982.4369495,-821.0570738,-886.7188676
334,-962.4633999,-969.664483,-797.9702126,-906.1534676
335,-400.1949037,-949.9298885,-789.0414469,-907.4425796
336,-394.006151,-936.3713137,-647.6191088,-1079.182934
337,-396.2773622,-741.5415146,-661.9919181,-1066.789819
338,-389.2767046,-721.7500062,-522.2754277,-1049.790513
339,-389.5609198,-691.3533113,-516.2189931,-1183.530637
340,-1035.453755,-1190.388894,-661.3991662,-1171.530689
341,-953.1081618,-1192.117575,-649.397521,-1184.806422
342,-1093.094268,-1187.963801,-676.3842616,-1191.29998
343,-1118.991171,-1187.82593,-669.3838701,-1179.412847
344,-945.3396926,-1184.909259,-669.3838655,-915.8271837
345,-1123.433441,-1180.909253,-655.397578,-893.0641779
346,-1106.958953,-1197.333358,-681.4274196,-885.0641538
347,-1099.789453,-1198.042842,-675.2498758,-885.0779802
348,-1116.656956,-1189.691696,-696.0711855,-1046.292937
349,-1108.656916,-1182.180977,-707.4917316,-1034.292057
350,-1130.532597,-1077.41424,-694.7615632,-1036.448686
351,-1124.919898,-1045.413548,-564.2733412,-1035.610808
352,-1114.434635,-1212.570982,-527.0997836,-1038.37372
353,-1027.595229,-1182.570959,-525.1739749,-1038.61072
354,-1021.289299,-1185.661878,-509.1423455,-1044.813204
355,-1028.822954,-1190.970007,-535.3086812,-876.4415316
356,-1024.709685,-1178.862797,-504.3086004,-915.216853
357,-1017.315283,-1205.961192,-504.3085997,-885.2168697
358,-1020.216765,-803.8707575,-512.3120292,-885.2168697
359,-1016.284394,-402.4451421,-389.9096778,-891.1339834
360,-1015.530727,-387.3736363,-397.4473583,-885.1645781
361,-1138.258937,-395.449111,-375.0467975,-924.4371719
362,-281.9096619,-388.2901642,-386.3720655,-1054.946951
363,-277.8589697,-245.7566976,-405.4373144,-1055.767519
364,-117.0145535,-227.6077434,-391.4374773,-154.4093957
365,-116.0146649,-230.1061037,-391.4374857,-166.2587704
366,-133.7902645,-210.1063203,-400.1621925,-236.8782952
367,-128.8965193,-394.8099766,-393.2209287,-234.8661028
368,-130.2760929,-375.8094873,-427.741027,-276.365033
369,-158.1829757,-393.5706237,-410.2434102,-415.9863494
370,-138.2741205,-395.3434037,-393.2801586,-401.2258835
371,-145.273045,-361.6316833,-388.1771291,-279.1452912
372,-312.8386223,-338.7242655,-375.2079802,-279.833894
373,-292.0669846,-360.373419,-542.2715563,-272.1582031
374,-1040.031155,-344.4319237,-713.8521366,-257.2982762
375,-1031.250722,-348.4773953,-685.8526024,-237.2988755
376,-1032.500678,-352.4746138,-685.9018102,-243.1572882
377,-1019.386926,-1056.085032,-686.6147331,-239.0924888
378,-1027.044137,-1198.847324,-709.0815712,-292.6151719
379,-927.0206122,-1188.941661,-686.0813237,-241.3580141
380,-1064.538623,-1190.037871,-710.5798885,-256.4858687
381,-486.0391637,-1186.323396,-687.5794445,-271.4232389
382,-361.3971827,-1173.455273,-685.5812578,-389.9066801
383,-355.3428629,-1174.246594,-688.6463014,-380.905611
384,-356.3435579,-1030.162761,-688.580216,-409.5775362
385,-353.3439005,-1022.223004,-678.3586495,-1072.876285
386,-345.5147493,-1026.652251,-674.4886187,-1064.827687
387,-494.1772927,-1050.468541,-599.2662451,-1067.920515
388,-517.4789956,-1060.910015,-629.4849424,-1066.135184
389,-411.2438566,-1165.34933,-612.2674684,-1050.133505
390,-267.8546997,-1163.349326,-591.2103876,-1054.205964
391,-430.4389569,-1184.407528,-592.2091747,-1064.550127
392,-422.789717,-1189.670816,-1148.135941,-1038.641079
393,-1015.068626,-1037.255532,-1132.094144,-1052.18791
394,-998.5067084,-1063.165192,-1139.307256,-904.5308219
395,-1028.455002,-1053.297709,-1130.687273,-902.5790004
396,-1012.451537,-1054.289466,-1135.794554,-883.7515843
397,-901.0090713,-920.5466636,-441.3227494,-887.1720052
398,-899.1702962,-896.9131254,-434.6438937,-1018.822058
399,-893.1040126,-1017.73789,-460.0890521,-1164.233065
400,-929.1931262,-865.29743,-435.0898899,-1049.908118
401,-907.9970544,-896.8426884,-437.0357711,-1028.716922
402,-910.0471885,-930.1050662,-325.217919,-1049.647066
403,-908.0473117,-905.0223949,-313.0163516,-1052.790583
404,-947.7402249,-903.3152454,-327.096704,-663.8101613
405,-538.401236,-896.428579,-335.4790658,-824.8184838
406,-502.4601178,-896.9307336,-332.1106225,-655.8836564
407,-496.4606052,-755.3019122,-316.8714856,-642.6243827
408,-496.4606073,-729.3017226,-325.8309802,-809.0287204
409,-522.7138797,-727.3023704,-1036.803843,-782.0136975
410,-568.2481719,-727.3023672,-1154.511972,-764.72203
411,-541.2494495,-900.903001,-1131.48796,-757.2269849
412,-565.7507081,-1024.902653,-1009.510819,-569.5106597
413,-426.7238583,-1007.649756,-1014.247749,-572.2921177
414,-387.7461269,-1023.902885,-845.995657,-605.8638652
415,-387.7460863,-1014.902457,-849.6827593,-578.7029152
416,-281.4428982,-1009.691628,-842.9993094,-583.1591642
417,-265.5319086,-998.3007717,-964.6810008,-725.6345898
418,-264.5992436,-887.0011641,-1115.393521,-736.1310989
419,-168.2040464,-1047.429089,-1116.980349,-723.3604812
420,-152.5340043,-1021.429345,-1126.371126,-300.924499
421,-136.5132502,-1173.99276,-1111.370982,-290.8680788
422,-440.4205127,-1151.993346,-1111.370982,-287.5642364
423,-437.205811,-1157.356687,-976.5088289,-452.7878029
424,-310.6981357,-162.1416123,-873.1332063,-424.7874454
425,-179.7500398,-798.8933408,-876.7879545,-414.8500159
426,-184.5499852,-786.8930918,-438.7666516,-542.658565
427,-182.5466245,-814.0431069,-617.176901,-535.6588423
428,-282.3091022,-787.0430317,-589.0301539,-403.9266159
429,-263.1799775,-787.0207394,-583.0487341,-401.3508522
430,-253.2079748,-813.8086279,-485.5515472,-433.2046225
431,-241.352825,-807.9210594,-452.4236251,-419.4346284
432,-266.6305846,-647.4954791,-572.6207885,-419.433263
433,-407.2104313,-666.4648726,-547.3188866,-582.2312692
434,-275.5413652,-662.2586113,-720.8552017,-626.7376222
435,-142.7264099,-531.8958145,-695.5485644,-627.8454228
436,-147.0686999,-521.8115463,-723.2819588,-623.8454826
437,-176.6199934,-524.6962685,-588.1119457,-648.4879464
438,-179.5518207,-556.3210636,-573.1707266,-509.9248277
439,-499.5676047,-545.4264189,-570.9271544,-828.9053354
440,-234.0451104,-547.7709864,-570.9570663,-515.9239341
441,-404.681213,-543.9488714,-570.95709,-387.117557
442,-389.6809946,-519.9487162,-570.9570901,-396.3851265
443,-422.1254994,-394.2723188,-748.1589494,-250.0586333
444,-404.3800296,-410.2827636,-735.3480256,-242.3926471
445,-410.7170103,-404.4702585,-728.3503462,-238.3121687
446,-551.2116866,-282.8487363,-751.6937422,-234.3117465
447,-542.0594082,-274.8498402,-813.4784908,-408.8818224
448,-528.6925085,-434.4032081,-798.8920435,-290.0510534
449,-523.6531896,-574.9487385,-776.0178523,-318.445945
450,-524.1383903,-553.2363538,-796.3838057,-302.4459234
451,-541.8812603,-551.2364742,-775.1245497,-511.7845236
452,-384.5055746,-560.2020608,-749.0030741,-472.5938151
453,-414.0162399,-587.1484778,-277.594418,-440.6140658
454,-389.0150916,-571.3501032,-265.4646122,-440.6140893
455,-391.9812043,-624.2975307,-293.0054397,-428.768759
456,-580.8770212,-803.0036451,-274.0055527,-424.3187627
457,-720.6193397,-634.1661153,-423.8134902,-413.8922584
458,-703.5060935,-631.2815433,-933.9123161,-275.2538081
459,-422.8554832,-746.673941,-945.6666856,-275.1083507
460,-418.6374571,-735.6730151,-266.7876933,-415.8772847
461,-267.1927024,-772.9067414,-142.5539016,-399.0720215
462,-251.1878357,-753.9709921,-128.6600572,-638.9681555
463,-249.9939443,-751.9712433,-153.2013863,-667.0477381
464,-1198.995998,-751.9712453,-300.8333797,-697.6242085
465,-1196.444512,-912.8900925,-282.5948009,-701.4842161
