Timestep,Ramp0,Ramp1
722,-1942.996775,-1302.913538
723,-2092.793779,-1277.992209
724,-2064.797648,-1170.658526
725,-2020.80019,-2245.135783
726,-1964.104567,-1939.806551
727,-2007.102947,-2254.199643
728,-734.2285189,-2245.700351
729,-2764.258041,-2294.205047
730,-2457.788022,-2284.205045
731,-2373.640123,-2285.204565
732,-2326.641657,-2287.702936
733,-735.8506593,-2285.702261
734,-735.3501341,-2289.702792
735,-434.0113434,-2289.702256
736,-381.0106857,-2287.702601
737,-415.891879,-2285.202502
738,-647.4195001,-2685.711478
739,-691.914147,-2322.331541
740,-679.9141494,-2368.338194
741,-652.9199409,-2409.337874
742,-380.0462797,-2382.515342
743,-463.2001236,-1983.119973
744,-461.5296216,-1981.119973
745,-476.9371489,-2026.117704
746,-106.4770614,-1670.754391
747,-107.4760756,-760.3665161
748,-103.1305421,-754.3665136
749,-113.1269373,-758.6076346
750,-103.6266583,-757.1070591
751,-112.6300533,-755.1070596
752,-164.701777,-404.569004
753,-172.1978243,-438.0669041
754,-211.2005071,-433.066906
755,-175.8230868,-433.066906
756,-130.3236961,-794.3935532
757,-105.3254849,-486.9998623
758,-464.7316019,-133.1871301
759,-461.2309655,-98.689236
760,-1827.199797,-138.69173
761,-2070.386538,-133.020292
762,-2058.387751,-494.6478462
763,-2027.383968,-452.8507733
764,-2014.883965,-2409.802487
765,-566.8572457,-2403.302488
766,-295.9356894,-2770.274189
767,-280.9356847,-2407.592588
768,-553.8737595,-2361.592728
769,-585.8268577,-2358.446229
770,-975.9595288,-2355.783616
771,-855.3872435,-2358.286084
772,-494.2916935,-1990.947544
773,-494.2000376,-2362.286084
774,-490.7000395,-2418.78616
775,-802.5306354,-2406.936347
776,-424.9871397,-2404.436014
777,-780.9216361,-2404.436014
778,-774.5396476,-2412.935212
779,-777.0406497,-2139.569412
780,-775.0408653,-2135.944314
781,-774.5405707,-2085.944182
782,-2687.304098,-2094.438555
783,-2678.553314,-2083.438555
784,-2677.553314,-2083.438555
785,-1985.984474,-816.5623499
786,-2691.755529,-812.0623472
787,-811.3975878,-812.0623472
788,-1123.574237,-870.562406
789,-1671.127905,-862.0624097
790,-2692.598494,-862.0624097
791,-2682.123847,-853.55872
792,-2678.123848,-766.7437392
793,-2297.414041,-760.2437406
794,-1934.002505,-762.5183455
795,-1929.730872,-456.3782503
796,-1968.733949,-452.5455555
797,-1964.347923,-767.6261228
798,-1961.847923,-772.8582066
799,-2334.56298,-814.3581121
800,-2324.06298,-813.3567717
801,-2324.06298,-783.360441
802,-2324.06298,-417.2183786
803,-2327.916214,-112.8313537
804,-2324.916213,-115.831945
805,-2328.914308,-106.3310201
806,-2325.913894,-102.8310292
807,-2330.870243,-104.3317623
808,-2325.868657,-105.8316703
809,-2726.537772,-458.7146665
810,-2715.03797,-504.7101635
811,-2716.566183,-898.9345994
812,-2714.566185,-900.4209255
813,-2718.567942,-896.2602013
814,-2360.857382,-891.2597204
815,-2357.859903,-897.4203086
816,-2723.875339,-891.4203134
817,-2184.083829,-540.7320545
818,-1974.663889,-2297.611135
819,-1971.16389,-1212.410055
820,-1975.192798,-1206.408487
821,-1970.692798,-795.3891481
822,-1970.692798,-792.3891461
823,-2414.496681,-762.3941259
824,-2461.99655,-753.3939978
825,-2409.496437,-757.3963178
826,-2462.496684,-736.9030091
827,-2457.965328,-725.4026072
828,-2778.922848,-762.8983736
829,-2379.841469,-754.3981195
830,-2376.341469,-754.025005
831,-1912.056741,-753.6891175
832,-1904.056825,-755.8012724
833,-1937.049595,-2053.630433
834,-1923.049593,-1668.93503
835,-1363.432227,-1663.254608
836,-1354.432183,-1664.754576
837,-1354.432425,-761.0658427
838,-1361.93513,-817.0648833
839,-1972.756423,-775.8100614
840,-2022.256317,-775.3101409
841,-1966.552127,-776.3103018
842,-2016.046514,-469.2271253
843,-1975.051681,-464.0186056
844,-1944.663553,-507.5170107
845,-1993.227106,-818.9098001
846,-2111.837878,-816.9216256
847,-1758.103303,-772.9224017
848,-1783.480845,-458.5575548
849,-1787.9833,-454.2183324
850,-2137.209112,-717.2474671
851,-1740.984125,-718.2470928
852,-814.3342191,-715.0130878
853,-434.9214722,-714.0130886
854,-2375.158526,-714.0130886
855,-2689.984182,-848.1993853
856,-1675.02394,-814.6972119
857,-1664.023938,-808.1975396
858,-1620.523721,-807.697815
859,-1663.020118,-2021.631325
860,-1655.020657,-2374.52313
861,-1654.020657,-2343.528257
862,-1656.96158,-2336.284526
863,-1654.706441,-2031.467362
864,-1654.206945,-2339.348778
865,-2017.137423,-2680.679965
866,-1664.149353,-735.4219233
867,-2022.637425,-730.9219215
868,-1977.139658,-410.0367882
869,-2021.13489,-105.4987554
870,-1984.64066,-1663.4959
871,-1972.640652,-2323.688
872,-1835.433433,-2583.324645
873,-1843.017714,-2722.110149
874,-1809.520785,-2727.181362
875,-1803.020784,-2724.923369
