Steps,g_0.98,g_0.99,g_0.995,g_0.999
111,-883.2012032,-873.46752,-960.9550664,-822.9821544
112,-863.9308437,-998.7587347,-966.7808144,-822.3735534
113,-863.931107,-988.9654657,-960.466431,-822.6049438
114,-239.9498795,-1014.538741,-959.5216291,-807.558541
115,-134.2938434,-868.7216852,-766.6239503,-813.6950247
116,-135.9416442,-844.135725,-753.6205069,-810.5074356
117,-312.7892966,-1002.664539,-256.417819,-806.5688326
118,-288.8758357,-983.0969337,-268.3024748,-817.3748407
119,-312.5586186,-286.0122224,-288.234038,-274.8244563
120,-648.1926829,-407.5719636,-283.3891248,-420.7515417
121,-631.9446954,-405.7710671,-306.1459265,-416.7610135
122,-747.6121411,-409.942739,-291.5604673,-410.7891551
123,-749.4555297,-648.8635549,-307.1350537,-413.6674486
124,-736.848291,-633.9700282,-284.1544094,-1016.886534
125,-731.5805249,-634.2037904,-285.7112465,-864.7875106
126,-722.7352963,-618.2493243,-278.9687477,-851.3490595
127,-587.8867667,-648.1366036,-259.1344784,-732.3651552
128,-563.9020204,-508.3644047,-275.2534951,-587.141246
129,-262.7307447,-827.7873604,-277.0952876,-571.2827458
130,-265.0425451,-608.5366938,-259.0473243,-744.2662804
131,-262.7785801,-608.5098562,-260.1277753,-859.2801246
132,-424.5997078,-590.6699283,-258.0792072,-856.5078996
133,-409.0650545,-583.9487939,-271.9593848,-851.5392806
134,-412.54482,-586.9033856,-296.2847591,-849.5603346
135,-407.6086454,-469.1813946,-331.7815501,-880.8660791
136,-400.7210711,-494.2094924,-263.8888595,-930.551795
137,-391.5307755,-485.2094851,-514.6669709,-1123.649131
138,-248.0046093,-485.2094849,-514.7124665,-910.8579928
139,-234.8935781,-487.1471761,-662.746355,-916.6849177
140,-403.1495763,-484.6719444,-650.7480203,-910.1940129
141,-393.81803,-988.2469602,-647.2560634,-901.0308566
142,-449.5390696,-979.1298287,-674.4887327,-888.0307834
143,-463.3721269,-1192.819697,-651.3711703,-924.2721397
144,-444.372794,-1139.299369,-417.8091452,-906.3122919
145,-413.3881267,-1163.121248,-406.7226411,-920.9332384
146,-412.6051066,-1147.299259,-396.5324229,-909.0305943
147,-431.8154414,-1160.204101,-378.6945717,-915.4546095
148,-404.8142423,-1177.612628,-265.8604327,-901.4545096
149,-292.8432819,-1154.612728,-268.8545593,-1031.097654
150,-276.6610006,-1202.073355,-138.500415,-999.1564782
151,-268.2197771,-1178.019838,-1196.800265,-983.6038105
152,-1106.573834,-1190.494085,-1183.933392,-986.6057145
153,-307.4334581,-1186.148914,-1190.729699,-692.0026133
154,-296.5901554,-1194.517207,-1185.019144,-665.7146899
155,-304.1343779,-1081.196578,-1081.729226,-655.785156
156,-279.1340947,-702.2671297,-1062.368549,-697.0461351
157,-422.230563,-599.954824,-1062.486242,-691.9045493
158,-286.7645164,-598.2957107,-1068.042178,-690.7213224
159,-282.9328817,-533.0427662,-1083.485568,-693.1524892
160,-289.1641237,-527.0419449,-1186.035251,-698.1499455
161,-457.5137375,-434.8310494,-1182.963509,-702.3052177
162,-465.317558,-288.2326108,-1054.785801,-422.0258147
163,-441.3446017,-284.2335774,-1050.026956,-985.1695476
164,-476.9526132,-288.6665944,-1043.909535,-977.2382882
165,-591.7005434,-268.9047933,-1182.839303,-978.1753843
166,-580.894167,-268.9018434,-272.0405136,-975.1753698
167,-563.4968935,-320.1906503,-249.3719734,-1115.280134
168,-563.4968124,-349.0001154,-238.3729313,-968.3221026
169,-563.4319326,-679.4343963,-367.9674912,-733.6277899
170,-571.1890326,-665.662012,-303.928655,-716.6974615
171,-579.0385227,-500.8536395,-303.9338509,-720.6411897
172,-1186.079013,-484.8901616,-343.052272,-765.3202052
173,-1192.715101,-478.8901736,-317.9164926,-412.0503778
174,-1175.657377,-480.8904566,-311.9173332,-452.8535605
175,-1147.18686,-476.4686074,-389.8756305,-454.4284196
176,-1142.186897,-504.8910313,-404.5967206,-412.5225695
177,-1040.797651,-489.7570221,-240.2901919,-488.175917
178,-703.5577547,-501.741535,-257.0882727,-423.5681721
179,-692.8005583,-524.5308645,-760.6935415,-416.2762176
180,-683.7265643,-514.782755,-788.5755365,-334.4418217
181,-684.64664,-529.4426976,-793.4050614,-317.3998948
182,-554.3584606,-554.230199,-647.5383752,-1160.518624
183,-707.7633766,-512.8721363,-527.6816116,-1154.968316
184,-1185.610619,-540.9339911,-512.5400965,-1140.968321
185,-462.0800122,-528.0084789,-1158.130452,-540.7414754
186,-442.1438848,-409.1838015,-1151.292217,-474.8917022
187,-443.0802771,-412.0239963,-1001.595007,-469.523681
188,-470.3602888,-378.0514676,-982.5962487,-484.3179839
189,-303.2836027,-490.27895,-982.5818382,-426.7464803
190,-286.9126142,-487.1513549,-565.9441287,-419.7459448
191,-306.3727513,-630.1402812,-597.1378144,-441.1104945
192,-415.7845096,-627.6408675,-727.290409,-420.0306278
193,-299.613492,-615.3093801,-859.7765766,-405.0286219
194,-287.6122253,-652.5330112,-855.3458684,-532.1180728
195,-287.6122141,-620.532725,-830.8236641,-389.7543358
196,-278.7379329,-1031.050645,-828.8238033,-404.989435
197,-1040.763148,-1036.767608,-559.8355282,-417.0584423
198,-1043.661446,-1176.406778,-720.5249154,-403.0578781
199,-275.42592,-1184.601606,-853.8026257,-563.6663045
200,-182.0921172,-1180.190453,-711.9797549,-555.3574315
201,-160.0100689,-384.9258914,-830.1429436,-566.725427
202,-170.6902016,-387.6583462,-859.2403005,-557.0089304
203,-155.0451084,-384.6575843,-1017.824303,-565.8713773
204,-1147.907163,-253.5683776,-994.8243685,-845.1277958
205,-1149.129123,-157.1391548,-887.282555,-757.7335931
206,-995.3079378,-155.1383838,-878.7140385,-786.5746661
207,-887.1932024,-269.8646214,-860.8032553,-876.3334217
208,-877.1233057,-248.8635714,-893.3380029,-970.996618
209,-898.3668966,-253.7881619,-876.2656146,-957.1513777
210,-1025.869085,-161.5547755,-875.3057017,-281.6245226
211,-975.5129867,-182.3614375,-811.4595495,-451.5278932
212,-1049.585889,-268.6023336,-785.4827856,-298.571759
213,-1021.682785,-268.7953651,-785.4826861,-281.2791511
214,-1017.682597,-373.6619341,-898.4260776,-321.0077507
215,-1024.685174,-412.8177666,-870.2950342,-166.8030198
216,-1024.682819,-395.2762782,-539.2730632,-304.987673
217,-1022.693589,-377.2755041,-550.4834065,-298.2477865
218,-1013.637386,-235.9859477,-553.4199544,-404.5793739
219,-1013.971053,-235.8814454,-570.7054655,-928.4922405
220,-1017.142737,-259.1717374,-579.0745569,-1196.814197
221,-1043.337007,-247.171563,-1202.176329,-1190.63319
222,-889.6385622,-249.1707761,-821.7334466,-1198.384578
223,-880.9114767,-247.1825463,-664.4061614,-1196.660475
224,-875.9878254,-1199.289123,-648.3174418,-1203.413471
225,-883.1444573,-1185.788401,-644.3689768,-459.471201
226,-1057.465806,-1186.731154,-640.5513199,-462.6346061
227,-1042.350365,-1191.309768,-675.7659628,-454.6345714
228,-886.5934657,-896.6158729,-1055.456594,-585.7583404
229,-876.0306618,-914.5234924,-433.0606778,-565.5361649
230,-864.7216958,-921.2921407,-425.1356863,-328.4483234
