TImeStep,g_0.98,g_0.99,g_0.995,g_0.999
111,-1186.440792,-271.5887447,-859.4031768,-404.4663108
112,-1181.440767,-250.5770999,-857.7645302,-396.2365426
113,-1181.440767,-246.775006,-886.8018681,-392.1266306
114,-1181.440767,-1201.385307,-1018.525406,-395.677968
115,-1184.392014,-1179.409254,-885.9594553,-404.9840046
116,-1186.264589,-1183.32164,-879.98211,-418.1491384
117,-1181.580964,-1188.95163,-993.0244949,-414.7154595
118,-1195.874135,-1183.218405,-515.3895851,-367.0536486
119,-1006.117358,-1061.291415,-510.4323205,-986.0276795
120,-1182.561762,-1052.067589,-364.6786055,-979.55887
121,-1190.355763,-935.0958549,-327.355924,-996.027383
122,-1200.939628,-928.8976268,-1191.192559,-974.9508947
123,-1040.962416,-924.9353184,-1184.414948,-945.0142369
124,-1035.599261,-933.1755446,-1201.736372,-962.9207772
125,-1191.629177,-923.1564497,-1187.512282,-961.8783955
126,-1185.716759,-1074.894129,-1184.762913,-1009.468493
127,-1186.018674,-1175.760923,-1182.596827,-723.5972497
128,-1180.468671,-1141.011276,-1192.42122,-762.2031764
129,-1162.677192,-1138.014586,-1176.875146,-774.4546097
130,-1172.480996,-1122.809589,-1173.248075,-757.4738287
131,-1173.06213,-1104.102223,-1185.852331,-766.2069724
132,-1165.063234,-996.6517842,-1177.028062,-738.708379
133,-1041.797221,-839.8804457,-1178.597401,-723.707242
134,-1168.028819,-821.4265617,-1186.501694,-731.3780802
135,-310.8694425,-843.0423491,-1173.988453,-667.7604049
136,-866.3968327,-997.8700171,-1160.102981,-652.8072832
137,-869.5126103,-986.2987342,-1172.322448,-817.409271
138,-387.855359,-856.7159654,-936.4088558,-756.697218
139,-1173.256974,-846.4643811,-906.4081946,-842.612482
140,-1162.482324,-835.4655534,-1075.030588,-848.7778904
141,-1187.017647,-1065.265229,-1211.3864,-842.7774351
142,-1057.70802,-860.4681983,-717.1010457,-920.9309038
143,-1050.709091,-825.9778731,-1174.576922,-760.2528547
144,-1054.277373,-820.9786372,-1188.395235,-743.4097228
145,-1057.129835,-828.3695108,-400.3819223,-747.4062868
146,-1056.266118,-842.8344028,-404.6665901,-269.5825151
147,-1050.681188,-305.4226856,-415.0717594,-467.516047
148,-1033.681323,-289.4873091,-393.9664517,-460.4587402
